date,category_code,total_views,total_carts,total_purchases,revenue,conversion_rate
2019-10-01,accessories.bag,5954,8,38,1924.42,0.006382264024185421
2019-10-01,accessories.umbrella,151,0,1,25.48,0.006622516556291391
2019-10-01,accessories.wallet,1258,0,6,308.88,0.0047694753577106515
2019-10-01,apparel.belt,32,0,0,0.0,0.0
2019-10-01,apparel.costume,642,0,1,136.43,0.001557632398753894
2019-10-01,apparel.dress,229,0,0,0.0,0.0
2019-10-01,apparel.jacket,24,0,0,0.0,0.0
2019-10-01,apparel.jeans,293,0,0,0.0,0.0
2019-10-01,apparel.scarf,74,0,0,0.0,0.0
2019-10-01,apparel.shirt,231,0,0,0.0,0.0
2019-10-01,apparel.shoes,19851,0,83,7055.7699999999995,0.00418114956425369
2019-10-01,apparel.shoes.ballet_shoes,84,0,0,0.0,0.0
2019-10-01,apparel.shoes.espadrilles,89,0,0,0.0,0.0
2019-10-01,apparel.shoes.keds,13220,0,76,5588.0,0.005748865355521936
2019-10-01,apparel.shoes.moccasins,539,0,2,103.99,0.0037105751391465678
2019-10-01,apparel.shoes.sandals,359,0,0,0.0,0.0
2019-10-01,apparel.shoes.slipons,259,0,2,112.22999999999999,0.007722007722007722
2019-10-01,apparel.shoes.step_ins,51,0,0,0.0,0.0
2019-10-01,apparel.shorts,34,0,0,0.0,0.0
2019-10-01,apparel.skirt,33,0,0,0.0,0.0
2019-10-01,apparel.sock,71,0,0,0.0,0.0
2019-10-01,apparel.trousers,418,0,1,39.62,0.0023923444976076554
2019-10-01,apparel.tshirt,655,0,3,119.62,0.004580152671755725
2019-10-01,apparel.underwear,1126,0,2,42.35,0.0017761989342806395
2019-10-01,appliances.environment.air_conditioner,1642,1,7,1391.02,0.004263093788063338
2019-10-01,appliances.environment.air_heater,11479,48,159,6649.389999999999,0.01385138078229811
2019-10-01,appliances.environment.fan,72,0,1,12.84,0.013888888888888888
2019-10-01,appliances.environment.vacuum,20470,162,298,39636.719999999994,0.014557889594528578
2019-10-01,appliances.environment.water_heater,4418,63,112,12731.24,0.025350837483023993
2019-10-01,appliances.iron,4532,7,91,4492.030000000001,0.020079435127978818
2019-10-01,appliances.ironing_board,982,3,18,509.74,0.018329938900203666
2019-10-01,appliances.kitchen.blender,5631,25,85,5017.740000000001,0.01509500976735926
2019-10-01,appliances.kitchen.coffee_grinder,340,2,4,92.08000000000001,0.011764705882352941
2019-10-01,appliances.kitchen.coffee_machine,2124,0,14,1435.9000000000003,0.006591337099811676
2019-10-01,appliances.kitchen.dishwasher,2134,0,23,10154.310000000001,0.01077788191190253
2019-10-01,appliances.kitchen.grill,2116,2,17,2469.58,0.008034026465028356
2019-10-01,appliances.kitchen.hob,2884,1,18,3998.8500000000004,0.0062413314840499305
2019-10-01,appliances.kitchen.hood,3217,3,27,3054.0600000000004,0.0083929126515387
2019-10-01,appliances.kitchen.juicer,1406,7,16,1276.14,0.011379800853485065
2019-10-01,appliances.kitchen.kettle,5407,14,91,3365.7800000000007,0.016830035139633808
2019-10-01,appliances.kitchen.meat_grinder,4714,8,78,5312.720000000001,0.016546457361052185
2019-10-01,appliances.kitchen.microwave,4315,24,96,7765.08,0.022247972190034764
2019-10-01,appliances.kitchen.mixer,2584,19,40,3139.96,0.015479876160990712
2019-10-01,appliances.kitchen.oven,5424,5,57,7533.1100000000015,0.010508849557522125
2019-10-01,appliances.kitchen.refrigerators,21115,24,246,79248.31,0.011650485436893204
2019-10-01,appliances.kitchen.steam_cooker,437,0,2,151.82,0.004576659038901602
2019-10-01,appliances.kitchen.toster,785,0,19,586.3599999999999,0.024203821656050957
2019-10-01,appliances.kitchen.washer,18969,116,325,88841.5,0.01713321735463124
2019-10-01,appliances.personal.hair_cutter,1582,1,26,810.1400000000001,0.01643489254108723
2019-10-01,appliances.personal.massager,492,0,2,77.02,0.0040650406504065045
2019-10-01,appliances.personal.scales,1802,7,25,464.9,0.013873473917869035
2019-10-01,appliances.sewing_machine,5270,14,56,18572.75,0.01062618595825427
2019-10-01,auto.accessories.alarm,6028,81,49,7168.75,0.008128732581287325
2019-10-01,auto.accessories.compressor,2169,0,18,1953.0700000000002,0.008298755186721992
